name,brief_description,value,eligibility,deadline,field_of_study,application_instructions,official_scholarship_website,id,level
Rhodes Scholarships at Oxford University for International Students,"The Rhodes Scholarships are postgraduate awards supporting exceptional all-round students at the University of Oxford. Established in the will of Cecil Rhodes in 1902, the Rhodes is the oldest and perhaps the most prestigious international scholarship program in the world.","A Rhodes Scholarship covers all University and College fees, a living stipend of £19,092 per annum (AY 2023/24); settling in allowance, health insurance, visa, two economy class flights – to and from the UK – for the beginning and end of studies in Oxford.",Each applicant must fulfil the citizenship and residency requirements of the Rhodes constituency for which they are applying. Age requirements vary based on the field of study and completion of undergraduate degree. Applicants must have a high standard of English language proficiency.,July,Rhodes Scholars may study any full-time postgraduate degree at the University of Oxford.,"Applications for the next round of Rhodes Scholarship open in June 2024. All candidates should read the information about the Scholarships in the country-specific page to read the application criteria, eligibility requirements, and deadline specific to their country.",https://www.rhodeshouse.ox.ac.uk/scholarships/the-rhodes-scholarship/,rL9SVa8gdJY,Missing data
University of Sydney International Scholarship,The scholarship provides a yearly scholarship to high quality international postgraduate students who wish to study a master’s by research or PhD at the University of Sydney.,"For 2023 awards, the scholarship is valued at $37,207 per annum and assists with tuition fees and living costs.","Must be a commencing or enrolled international student with outstanding academic achievement and research potential, and have an unconditional offer of admission or be currently enrolled in a master’s by research or PhD at the University of Sydney.",13 September,Master’s by research or PhD Degree offered at the University of Sydney,Commencing students should select the check box to be considered for research scholarships when completing the admission application for your postgraduate research degree. A separate application is not required.,https://sydney.edu.au/scholarships/e/university-sydney-international-scholarship.html,sFhaLzf9exp,Missing data
DAAD Helmut-Schmidt Masters Scholarships for Public Policy and Good Governance,"The DAAD Helmut-Schmidt-Programme Masters Scholarships for Public Policy and Good Governance Programme offers very good graduates from developing countries the chance to obtain a Master’s degree in disciplines that are of special relevance for the social, political and economic development of their home country at German institutions of higher education.","DAAD scholarship holders within the Helmut-Schmidt-Programme are exempted from tuition fees. DAAD pays a monthly scholarship rate of currently 934 €. The scholarship also includes contributions to health insurance in Germany, appropriate travel allowance, a study and research subsidy as well as rent subsidies and/or allowances for spouses and/or children where applicable. Prior to their study programmes, all scholarship holders will also receive a 6- months German language course.","Graduates from developing countries (bachelor or equivalent) with a well-qualified first university degree in the fields of social and political sciences, law, economics, public policy and administration, willing to actively contribute to the social, political and economic development of their home countries/regions, and who have practical experience relevant for the programme.",31 July,"Master courses in Social Protection, Development and Governance, Public Policy, Peace and Conflict Studies, Management in Non-Profit Organisations, Development Studies, Governance and Public Policy",Please submit your applications for the selected master`s courses and for the DAAD scholarship to the respective universities only (not to DAAD). You must indicate that you are applying for the DAAD Helmut-SchmidtProgramme (Master’s scholarships for Public Policy and Good Governance). The application period at all 8 universities lasts from 1 June – 31 July 2024.,https://www.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?status=&origin=&subjectGrps=&daad=&q=public%20policy&page=1&detail=50026397,XRe6xhyAuXE,Missing data
Italian Government Scholarships for Foreign Students,"The Ministry of Foreign Affairs and International Cooperation (MAECI) offers grants to foreign citizens not residing in Italy and Italian citizens living abroad for the academic year 2023-2024 to promote international cultural, scientific, and technological cooperation.","Tuition Fees, Health and Medical Insurance, Financial Grant of 9,000 euros (3,000 euros for Italian language and culture courses), scholarship duration of 3-9 months","Foreign students not residing in Italy and Italian citizens living abroad, age limits for different programs, language proficiency requirements",14 June,"Eligible for Master’s Degree, Courses of Higher Education in Arts, Music, and Dance, PhD program, Research under academic supervision, and Italian Language and Culture Courses",Complete and submit the online application form by 14 June 2024,https://www.esteri.it/en/opportunita/borse-di-studio/per-cittadini-stranieri/borsestudio_stranieri/,ZwkdEH3OdsK,Missing data
University of New South Wales International Scholarships,UNSW offers a wide range of Scholarships and Awards to support International undergraduate and postgraduate coursework students commencing full-time study at UNSW including the International Scientia Coursework Scholarships.,"International Scientia Coursework Scholarship: Full tuition fee or $20,000 per annum paid directly towards tuition fees for the minimum duration of program.","To be eligible for the International Scientia Coursework Scholarship, applicants must be an international student and have received an offer of admission into an eligible program for Term 3 2024 by 31 July 2024.",31 July,Eligible Undergraduate and Postgraduate coursework Programmes offered at the University,"For the International Scientia Coursework Scholarship, you must apply online before 31 July 2024. The Australia’s Global University Award do not require an application.",https://www.scholarships.unsw.edu.au/scholarships/id/1713/5886,5a5wtQK9qxG,Missing data
Tuition Fee Waivers for International Students at University of Pavia,"In order to encourage international students to enroll at the University of Pavia, 50 tuition fee waivers will be awarded on a “First come first served” basis to students enrolling at the 1st year in non-restricted access Bachelor’s or Master’s degree programs at the University of Pavia for academic year 2024/25.","The tuition fee is waived and the recipient need to only pay the Enrollment Tax, a sum of 156 euros that covers the “Regional Tax for the Right to Higher Education” and a duty stamp. The tuition fee waiver will be effective for the first year only and cannot be extended or renewed.","The applicants must fulfill all the following requirements: 1. Hold a non-Italian citizenship (either Non-EU or EU); 2. Reside outside Italy; 3. Possess a Secondary School diploma/Bachelor’s degree obtained outside Italy; 4. Be admitted and enroll in a non-restricted access Bachelor’s or Master’s degree program at the University of Pavia for academic year 2024/25, paying the Enrollment Tax (156 euros) from 15 May to 23 May 2024.",23 May,Non-restricted access Bachelor’s or Master’s degree program listed in the Call for Applications 2024-25,"Applications are currently closed. To be considered for the scholarship, you must be admitted and enroll in a non-restricted access Bachelor’s or Master’s degree program at the University of Pavia for academic year 2024/25, paying the Enrollment Tax (156 euros) from 15 May to 23 May 2024.",https://web-en.unipv.it/info-for/fees-and-fundings/financial-support/,7j0Oeqswh2R,Missing data
Rotary Foundation Global Scholarship Grants for Development,The Rotary Foundation offers scholarship funding through the Rotary Foundation Global Grants for graduate-level coursework or research in one of Rotary's six areas of focus.,"The minimum budget for a global grant scholarship is $30,000 which can fund various expenses such as passport/visa, travel expenses, tuition, room and board, etc.",Non-Rotarians sponsored by Rotary District or Clubs are eligible for this scholarship. Specific eligibility requirements can be found on the scholarship page of the Rotary Club/District.,"Rolling basis, but applications should be submitted at least three months before the scholar's intended departure date.","Graduate-level coursework or research in Peace and conflict prevention/resolution, Disease prevention and treatment, Water and sanitation, Maternal and child health, Basic education and literacy, and Economic and community development.",Interested applicants can contact their local Rotary clubs via the Rotary Club Locator to inquire on how to be sponsored for the grant. Global grant applications are submitted online.,https://my.rotary.org/en/take-action/apply-grants/global-grants,LsnoNmOG9YA,Missing data
Edinburgh Global Online Distance Learning Scholarships,The University of Edinburgh offers scholarships for eligible part-time distance learning Master’s programmes.,Each scholarship covers full tuition fees and is tenable for the normal duration of the programme of study.,Scholarships are available for students commencing any part-time distance learning Masters programme offered by the University in session 2024-2025. Applicants must be nationals of eligible countries.,03 June,Any online part-time distance learning Master’s programme for 2024-25 offered by the University.,"Applications are currently closed. Applicants must have applied for admission to the University of Edinburgh to gain access to the scholarship application system. Deadline for applications is 3 June 2024, 23:59 pm BST.",https://www.ed.ac.uk/student-funding/postgraduate/e-learning/online-masters,Q3Kzuxc9Zgo,Missing data
UAL/ISH International Postgraduate Scholarships,The UAL/ISH International Postgraduate Scholarship provides full scholarships to students from developing countries who are pursuing a full-time taught Masters course at one of UAL’s six Colleges starting in the academic year of 2024.,"The UAL International Postgraduate Scholarship provides a £50,000 award that covers the cost of tuition fees, accommodation at one of UAL’s halls of residence and may also contribute towards living costs.","Criteria include holding an offer to study a full-time taught master’s course at one of UAL’s 6 Colleges starting in 2024, being ordinarily resident in one of the low-income economy countries detailed in UAL’s list of qualifying countries, having an annual household income of £25,000 or less, and providing a personal statement as part of the scholarship application.",05 July,"Any full-time taught Master’s course (Grad Dip, M ARCH, MA, MFA, MBA, MRes or MSc qualification) at one of UAL’s six Colleges starting in 2024.","Once you’ve received an offer on a qualifying course, the ‘my funding’ page on your UAL Applicant portal will be updated to display application forms for scholarships you may be eligible for. It is recommended that you make a course application as soon as possible in order to receive an offer with enough time to apply for the scholarship.","https://www.arts.ac.uk/study-at-ual/fees-and-funding/scholarships-search/ual-international-postgraduate-50,000-scholarships",8BMvYPpme7b,Missing data
The Glenmore Medical Postgraduate Scholarship at the University of Edinburgh,Three scholarships are available for postgraduate full-time one year Masters study for eligible Human Medical programmes offered by the University in the 2024-2025 academic session.,The scholarship will cover full tuition fees for the duration of the programme of study.,The scholarships will be awarded to applicants who are accepted for admission in the 2024-2025 academic year on one of the eligible Human Medical programmes listed.,30 May,The scholarship covers various online and on-campus Masters programs in Human Medical fields.,"Eligible applicants should complete an online application form and submit a personal statement. In order to gain access to the scholarship application system, applicants must have applied for admission to the University of Edinburgh.",http://www.ed.ac.uk/schools-departments/student-funding/postgraduate/international/medicine-vet-medicine/glenmore,tjvR2O9HFEd,Missing data
